ID,Average Speed (km/h),Waiting Time,Speed Factor
12,22.106548672566372,0.0,0.96
4,29.528653846153848,0.0,1.06
13,26.718157894736844,0.0,1.04
28,8.348571428571429,0.0,0.97
19,25.74406015037594,0.0,0.95
14,31.562152466367714,0.0,1.23
39,0.0,0.0,1.14
5,31.50044444444444,0.0,1.15
27,38.615478260869565,0.0,1.0
15,26.882270270270276,0.0,1.01
41,24.69882352941177,0.0,1.08
1,30.280350262697016,0.0,1.1
3,28.977400722021663,0.0,1.02
17,26.61739534883721,0.0,1.02
0,34.57456310679612,0.0,0.94
37,13.662972972972973,7.0,1.08
61,24.45902912621359,0.0,1.03
26,35.73580041580042,0.0,0.89
8,34.772536443148695,0.0,1.12
2,26.827659574468086,2.4,1.03
11,30.729729729729737,0.0,1.07
30,28.704836065573772,0.0,0.96
62,30.097278106508877,0.0,1.03
18,30.182675159235668,0.7,1.0
22,31.06168831168831,0.0,0.94
16,34.29224011713031,0.0,1.12
34,32.71789473684211,0.0,1.06
24,31.407833065810596,0.0,0.73
31,35.092749562171626,2.1,1.0
52,27.39317406143345,0.2,0.89
50,26.688797953964194,2.4,1.09
23,36.889970674486804,0.0,1.13
20,26.001772853185596,7.7,1.11
81,22.493571428571432,0.0,0.87
21,22.72052631578947,22.4,1.16
9,20.04721387283237,26.2,1.01
33,19.14,10.7,0.93
10,19.757027027027025,24.4,1.03
82,30.097278106508877,0.0,1.03
47,34.47977528089888,0.0,1.03
73,25.433167259786476,3.0,1.07
29,14.835708154506438,24.0,1.04
40,30.945283018867926,0.4,0.88
54,34.00958083832335,0.0,0.96
51,36.90232044198895,0.0,0.9
96,27.661153846153844,0.0,0.97
69,25.678723404255315,0.0,0.97
48,22.06138279932546,9.9,0.98
46,20.79539432176656,9.0,1.0
70,26.964651162790698,0.0,0.9
32,29.68326114649681,0.0,1.07
100,37.62495412844037,0.0,1.0
92,41.802772277227724,0.0,1.0
36,16.671238591916556,21.8,1.18
60,37.06440677966102,0.0,1.1
95,48.203809523809525,0.0,1.09
64,31.019640718562876,0.0,0.94
57,23.18866894197952,24.4,1.03
6,22.20807272727273,26.3,1.03
56,21.3114,10.2,1.09
58,26.84580310880829,0.0,1.08
44,31.10625,0.0,1.05
106,0.0,0.0,1.24
89,29.751507692307687,0.0,0.98
76,26.694864300626303,0.0,1.03
49,34.96666666666667,0.9,0.94
75,27.900697674418605,0.0,0.84
87,27.322914572864324,0.0,0.97
107,44.102713567839196,0.0,1.11
84,29.997079646017696,0.0,1.07
25,33.92769668246446,0.0,1.14
102,21.13176470588235,0.0,0.84
90,32.89899280575539,0.0,1.1
65,50.37428571428571,0.0,0.92
86,20.713533834586467,16.1,1.0
94,23.645249999999997,0.0,0.83
38,26.134904942965782,1.8,0.91
35,29.982952646239557,8.9,1.12
133,36.56945454545455,0.0,0.98
129,33.38769230769231,0.0,1.11
137,28.056623376623378,0.0,1.3
72,29.665725699067917,0.0,1.1
7,26.09478445229682,0.0,0.82
105,27.08636942675159,0.0,0.97
45,35.25542435424354,0.0,0.91
127,27.803870967741936,0.6,1.04
110,48.971720930232564,0.0,1.04
91,16.651437699680514,26.1,1.04
71,23.518732394366197,12.2,0.93
68,30.14219653179191,0.0,0.97
53,30.738488038277513,4.5,1.14
149,20.855730337078654,0.0,1.26
74,31.443680981595097,8.0,1.0
152,23.7195,0.0,1.05
55,30.68083018867925,0.0,0.92
59,28.230463320463322,1.5,1.06
42,29.678972659486334,9.0,0.99
117,25.210308370044057,0.0,0.88
116,36.42146341463415,0.5,1.04
119,28.332972972972975,0.0,1.13
113,29.40954545454546,0.3,1.15
103,24.03924170616114,3.0,1.06
153,14.54326530612245,1.2,0.98
101,29.758145285935086,0.0,1.15
43,29.357428571428574,4.5,1.13
121,29.242306163021873,2.0,1.01
147,25.04290909090909,0.0,0.92
80,24.44345572354212,7.4,0.95
63,33.02710714285715,0.0,1.08
112,23.82122448979592,3.2,0.97
170,16.51885714285714,0.0,0.97
122,26.960531561461792,0.0,0.97
123,29.257905405405406,0.0,0.99
126,39.21446808510638,0.0,0.97
108,31.59464900662252,1.4,1.09
77,34.770111524163575,0.0,0.87
98,31.03720183486238,2.5,1.07
130,33.66595041322314,0.5,0.93
114,19.05845744680851,8.6,0.91
139,24.86306796116505,0.0,0.84
66,23.58060742407199,34.9,1.08
141,36.01228915662651,0.0,1.13
132,12.158653846153847,36.6,0.99
88,29.72749765698219,0.0,0.96
97,17.29432044198895,31.8,1.07
162,24.531428571428574,0.0,0.95
140,21.471118760757314,0.0,0.75
118,23.200391676866584,0.0,1.1
144,31.38645161290323,0.0,1.13
109,19.42978165938865,24.6,0.99
189,26.501954887218044,0.0,1.05
173,23.98228187919463,2.3,1.14
151,29.187692307692306,0.0,0.87
159,26.229251101321587,0.0,0.97
146,31.463368421052632,0.0,0.98
176,31.929056603773585,3.0,1.1
136,30.837735849056603,0.0,0.96
199,30.281684210526315,0.0,1.13
198,22.651653543307088,0.0,1.18
186,26.006564885496186,9.3,1.06
195,49.78426229508196,0.0,1.15
67,26.765398773006137,21.8,0.89
79,22.921592920353984,3.0,0.83
197,23.04404494382022,0.0,0.98
142,30.812048192771087,0.0,1.04
210,21.624,0.0,0.96
93,25.988026755852843,0.6,1.1
172,36.995248380129595,0.0,1.09
193,27.476170212765958,0.0,1.07
83,26.383994293865907,13.0,1.11
78,34.762035763411276,0.0,1.06
134,18.043216308040773,22.0,0.88
104,30.19722772277228,0.0,1.02
181,34.727225806451614,0.0,0.94
99,18.41701863354037,26.8,0.91
160,25.99061946902655,7.8,0.99
161,39.27904903417534,0.0,1.08
85,25.442423398328692,3.4,1.02
111,25.632721202003342,10.9,1.14
187,24.81891891891892,5.4,0.99
182,45.483958762886594,0.1,0.98
183,16.151148225469733,12.7,1.04
196,34.74096256684492,0.0,1.13
204,30.86713375796179,0.0,0.94
124,18.94214876033058,32.5,1.02
156,28.47231920199501,0.0,0.87
203,20.543225806451613,0.0,0.82
230,20.931428571428576,0.0,1.02
202,23.1779347826087,0.0,0.87
163,26.076996047430825,6.1,1.02
145,23.02523659305994,14.0,0.96
178,38.76388978930308,0.5,0.98
205,23.302647887323946,0.0,1.01
201,30.119999999999997,0.2,0.87
214,28.38048387096774,0.0,1.18
125,23.732488350419388,6.6,1.01
184,29.409139072847687,0.0,0.98
224,27.918000000000003,0.0,0.98
143,47.879212253829316,0.0,0.96
168,19.878298906439856,26.2,1.1
131,25.540828402366863,1.4,0.88
169,33.33040690505549,0.0,1.19
207,24.58125,0.0,0.95
194,23.506308724832216,4.0,1.21
211,25.20078260869565,0.0,1.02
148,17.28588957055215,14.1,0.96
115,24.215360896986688,17.2,0.96
135,18.122746645619575,18.7,0.71
128,24.86343529411765,5.2,1.14
165,19.576666666666668,9.2,1.04
157,21.72984732824428,19.1,1.21
188,33.77904,0.0,0.99
175,36.19146368715084,0.0,0.96
192,45.92237837837838,0.0,1.11
227,17.8069825436409,5.8,0.82
229,37.750344827586204,0.0,0.9
219,28.080000000000002,0.0,1.17
231,23.880952380952383,0.0,0.82
154,18.727493495229837,18.6,0.85
253,26.21635359116022,0.0,0.91
167,19.670662824207493,40.4,0.89
190,17.431867852604828,12.3,0.9
120,17.903040629095678,43.6,0.95
179,33.84796628029505,0.0,1.16
155,26.088019966722126,13.0,0.97
150,29.519155590304923,0.6,0.97
259,22.815505617977525,0.0,0.84
200,23.424154838709676,5.9,1.16
216,35.6118,3.4,1.16
226,25.262732673267326,1.9,1.11
258,11.673084112149533,8.0,0.92
209,35.53615384615385,0.0,0.9
171,26.444193548387098,10.1,0.97
245,28.829423076923078,0.0,1.12
