ID,Average Speed (km/h),Waiting Time,Speed Factor
12,22.106548672566372,0.0,0.96
4,29.528653846153848,0.0,1.06
13,26.718157894736844,0.0,1.04
28,8.348571428571429,0.0,0.97
19,25.74406015037594,0.0,0.95
14,31.562152466367714,0.0,1.23
39,0.0,0.0,1.14
5,31.50044444444444,0.0,1.15
27,38.615478260869565,0.0,1.0
15,26.882270270270276,0.0,1.01
41,24.69882352941177,0.0,1.08
1,30.280350262697016,0.0,1.1
3,28.977400722021663,0.0,1.02
17,26.61739534883721,0.0,1.02
0,34.57456310679612,0.0,0.94
37,13.662972972972973,7.0,1.08
61,24.45902912621359,0.0,1.03
26,35.73580041580042,0.0,0.89
8,34.772536443148695,0.0,1.12
2,26.827659574468086,2.4,1.03
11,30.729729729729737,0.0,1.07
30,28.704836065573772,0.0,0.96
62,30.097278106508877,0.0,1.03
18,30.182675159235668,0.7,1.0
22,31.06168831168831,0.0,0.94
16,34.29224011713031,0.0,1.12
34,32.71789473684211,0.0,1.06
24,31.407833065810596,0.0,0.73
31,35.092749562171626,2.1,1.0
52,27.39317406143345,0.2,0.89
50,26.688797953964194,2.4,1.09
23,36.889970674486804,0.0,1.13
20,26.001772853185596,7.7,1.11
81,22.493571428571432,0.0,0.87
21,22.72052631578947,22.4,1.16
9,20.04721387283237,26.2,1.01
33,19.14,10.7,0.93
10,19.757027027027025,24.4,1.03
82,30.097278106508877,0.0,1.03
47,34.47977528089888,0.0,1.03
73,25.433167259786476,3.0,1.07
29,14.835708154506438,24.0,1.04
40,30.945283018867926,0.4,0.88
54,34.00958083832335,0.0,0.96
51,36.90232044198895,0.0,0.9
96,27.661153846153844,0.0,0.97
69,25.610610079575594,0.0,0.97
48,22.024242424242424,9.9,0.98
46,20.762645669291338,9.1,1.0
106,0.0,0.0,1.24
70,26.964651162790698,0.0,0.9
32,29.68326114649681,0.0,1.07
100,37.62495412844037,0.0,1.0
92,41.5968472906404,0.0,1.0
36,16.671238591916556,21.8,1.18
95,48.203809523809525,0.0,1.09
64,31.019640718562876,0.0,0.94
57,23.18866894197952,24.4,1.03
6,22.20807272727273,26.3,1.03
56,21.3114,10.2,1.09
60,36.048,0.0,1.1
44,31.10625,0.0,1.05
49,35.43538873994638,0.1,0.94
58,24.325070422535212,0.0,1.08
76,26.694864300626303,0.0,1.03
87,27.322914572864324,0.0,0.97
107,44.102713567839196,0.0,1.11
89,24.233684210526317,2.3,0.98
84,29.997079646017696,0.0,1.07
75,26.08108695652174,0.0,0.84
25,33.92769668246446,0.0,1.14
90,32.97807692307692,0.0,1.1
65,50.37428571428571,0.0,0.92
94,23.694613778705637,0.0,0.83
35,30.010817843866178,8.9,1.12
133,36.904954128440366,0.0,0.98
102,23.442403846153844,0.0,0.84
129,33.38769230769231,0.0,1.11
137,28.056623376623378,0.0,1.3
38,25.433783533765038,1.8,0.91
72,29.705280000000002,0.0,1.1
86,40.52820678513732,0.0,1.0
7,26.09478445229682,0.0,0.82
127,34.78600896860986,0.0,1.04
53,32.44618181818182,0.0,1.14
105,27.08636942675159,0.0,0.97
66,40.784357976653695,0.0,1.08
45,34.869416058394165,0.0,0.91
110,49.085874125874135,0.0,1.04
91,16.651437699680514,26.0,1.04
68,30.107390300230946,0.0,0.97
149,21.09272727272727,0.0,1.26
71,22.514561797752812,11.4,0.93
152,23.42666666666667,0.0,1.05
42,29.678972659486334,7.5,0.99
59,28.20324011571842,3.2,1.06
117,25.210308370044057,0.0,0.88
55,29.78933579335793,0.0,0.92
103,24.50376811594203,3.9,1.06
153,15.002526315789474,0.9,0.98
101,29.804210526315796,0.0,1.15
43,29.380746624305,4.5,1.13
119,29.187563805104407,0.3,1.13
74,27.976637554585157,8.1,1.0
121,29.01159763313609,5.3,1.01
147,24.929592760180995,0.0,0.92
113,25.29029315960912,0.2,1.15
116,30.47510204081633,2.8,1.04
63,33.02710714285715,0.0,1.08
170,16.51885714285714,0.0,0.97
123,29.257905405405406,0.0,0.99
108,31.51117569352708,1.5,1.09
122,26.135652173913044,0.0,0.97
77,34.80245581395349,0.0,0.87
98,31.03720183486238,2.4,1.07
112,20.2704486251809,6.6,0.97
80,21.43431818181818,6.5,0.95
130,26.88831683168317,4.8,0.93
126,34.939905213270144,0.0,0.97
173,40.37694915254238,0.0,1.14
132,12.197749196141478,36.6,0.99
162,24.98712074303406,0.0,0.95
88,29.783323943661973,0.0,0.96
120,26.580237154150193,0.0,0.95
97,16.79330472103004,23.2,1.07
140,21.471118760757314,0.0,0.75
109,19.907919463087246,28.7,0.99
144,32.07626373626373,0.0,1.13
118,23.0592700729927,0.5,1.1
189,26.304179104477612,0.0,1.05
151,29.07586206896552,0.0,0.87
176,36.5231654676259,0.0,1.1
141,29.94010016694491,0.0,1.13
186,44.53411764705883,0.0,1.06
79,15.221194906953968,39.2,0.83
199,30.281684210526315,0.0,1.13
146,30.19212121212121,0.0,0.98
159,24.96452830188679,0.0,0.97
124,24.325471698113212,10.1,1.02
198,22.474687499999998,0.0,1.18
157,20.107252747252748,8.3,1.21
114,14.550213197969546,30.5,0.91
195,48.98129032258064,0.0,1.15
197,23.04404494382022,0.0,0.98
134,19.45318681318681,11.1,0.88
160,29.716087689713323,0.1,0.99
148,25.239745222929937,1.2,0.96
93,29.38127071823204,2.4,1.1
193,27.476170212765958,0.0,1.07
139,15.672558139534885,17.1,0.84
187,31.394871794871797,0.0,0.99
78,34.738144329896905,0.0,1.06
172,32.68854961832061,0.0,1.09
104,29.901176470588233,0.0,1.02
136,25.089473684210528,9.5,0.96
163,30.079696048632222,0.0,1.02
181,34.21220338983051,0.0,0.94
210,7.7598086124401915,8.0,0.96
204,35.116956521739134,0.0,0.94
182,45.67229813664596,0.1,0.98
143,48.78662207357859,0.0,0.96
83,24.367826086956523,17.9,1.11
203,22.029056603773586,0.0,0.82
156,28.507865168539325,0.0,0.87
202,23.241089918256133,0.0,0.87
85,23.81702737940026,1.1,1.02
230,20.931428571428576,0.0,1.02
145,23.02523659305994,14.2,0.96
178,38.76388978930308,0.5,0.98
205,23.36847457627119,0.0,1.01
196,28.873600000000003,4.0,1.13
214,26.966896551724137,0.0,1.18
111,23.35209125475285,14.4,1.14
135,21.084958677685954,0.0,0.71
184,28.930162866449514,0.0,0.98
224,28.435000000000002,0.0,0.98
183,12.766336633663366,24.8,1.04
169,35.66089709762533,0.0,1.19
142,34.05841565703635,1.7,1.04
167,24.23332544378698,19.0,0.89
125,21.580474576271186,4.8,1.01
227,22.74076433121019,0.0,0.82
194,20.910089552238805,5.0,1.21
201,19.617631578947368,14.8,0.87
99,23.701793776693105,17.3,0.91
188,33.77904,0.0,0.99
207,19.525531914893616,6.1,0.95
175,36.151071428571434,0.0,0.96
155,28.37809954751131,1.7,0.97
192,45.675483870967746,0.0,1.11
161,25.009271523178807,26.9,1.08
229,37.750344827586204,0.0,0.9
253,26.362,0.0,0.91
154,18.376851063829786,20.7,0.85
115,22.38038860103627,26.5,0.96
128,23.604527177959792,0.0,1.14
190,16.27387900355872,21.0,0.9
179,33.115175257731956,0.0,1.16
150,29.89311163895487,0.0,0.97
177,24.2838,10.7,0.98
211,17.353832335329344,12.1,1.02
259,22.815505617977525,0.0,0.84
168,14.765198555956678,45.9,1.1
200,23.333830334190232,3.7,1.16
258,11.618790697674418,8.1,0.92
209,35.43132743362832,0.0,0.9
165,16.139541984732826,48.4,1.04
171,26.326244424620878,6.6,0.97
216,32.973888888888894,3.9,1.16
131,27.163441429516876,2.4,0.88
226,21.477575757575757,0.8,1.11
174,22.79946619217082,41.8,1.05
245,28.829423076923078,0.0,1.12
217,33.908051948051956,0.0,1.02
