ID,Average Speed (km/h),Waiting Time,Speed Factor
12,22.106548672566372,0.0,0.96
4,29.528653846153848,0.0,1.06
13,26.718157894736844,0.0,1.04
28,8.348571428571429,0.0,0.97
19,25.74406015037594,0.0,0.95
14,31.562152466367714,0.0,1.23
39,0.0,0.0,1.14
5,31.50044444444444,0.0,1.15
27,38.615478260869565,0.0,1.0
15,26.882270270270276,0.0,1.01
41,24.69882352941177,0.0,1.08
1,30.280350262697016,0.0,1.1
3,28.977400722021663,0.0,1.02
17,26.61739534883721,0.0,1.02
0,34.57456310679612,0.0,0.94
37,13.662972972972973,7.0,1.08
61,24.45902912621359,0.0,1.03
26,35.73580041580042,0.0,0.89
8,34.772536443148695,0.0,1.12
2,26.827659574468086,2.4,1.03
11,30.729729729729737,0.0,1.07
30,28.704836065573772,0.0,0.96
62,30.097278106508877,0.0,1.03
18,30.182675159235668,0.7,1.0
22,31.06168831168831,0.0,0.94
16,34.29224011713031,0.0,1.12
34,32.71789473684211,0.0,1.06
24,31.407833065810596,0.0,0.73
31,35.092749562171626,2.1,1.0
52,27.39317406143345,0.2,0.89
50,26.688797953964194,2.4,1.09
23,36.889970674486804,0.0,1.13
20,26.001772853185596,7.7,1.11
81,22.493571428571432,0.0,0.87
21,22.72052631578947,22.4,1.16
9,20.04721387283237,26.2,1.01
33,19.515294117647056,9.5,0.93
10,20.027671232876713,23.2,1.03
82,30.097278106508877,0.0,1.03
47,34.47977528089888,0.0,1.03
73,25.433167259786476,3.0,1.07
29,14.835708154506438,24.0,1.04
40,30.945283018867926,0.4,0.88
54,34.00958083832335,0.0,0.96
51,36.90232044198895,0.0,0.9
69,25.954838709677418,0.0,0.97
96,27.661153846153844,0.0,0.97
48,22.06138279932546,9.9,0.98
46,20.960699523052465,8.9,1.0
106,0.0,0.0,1.24
70,26.964651162790698,0.0,0.9
32,29.68326114649681,0.0,1.07
100,37.62495412844037,0.0,1.0
92,41.5968472906404,0.0,1.0
36,16.671238591916556,21.8,1.18
60,37.06440677966102,0.0,1.1
95,48.203809523809525,0.0,1.09
64,31.019640718562876,0.0,0.94
57,23.18866894197952,24.4,1.03
6,22.20807272727273,26.3,1.03
56,21.3114,10.2,1.09
58,26.212006745362565,0.0,1.08
44,31.10625,0.0,1.05
89,28.27263157894736,0.0,0.98
76,26.694864300626303,0.0,1.03
49,34.96666666666667,0.9,0.94
87,27.322914572864324,0.0,0.97
107,44.102713567839196,0.0,1.11
75,27.422400000000003,0.0,0.84
84,29.997079646017696,0.0,1.07
25,33.92769668246446,0.0,1.14
90,32.89899280575539,0.0,1.1
65,50.37428571428571,0.0,0.92
94,23.645249999999997,0.0,0.83
35,30.349285714285713,7.7,1.12
38,25.98669187145558,3.4,0.91
133,36.904954128440366,0.0,0.98
129,33.38769230769231,0.0,1.11
137,28.056623376623378,0.0,1.3
72,29.665725699067917,0.0,1.1
86,40.593786407767,0.0,1.0
7,26.09478445229682,0.0,0.82
105,27.028983050847458,0.0,0.97
66,40.86385964912281,0.0,1.08
45,35.158123275068995,0.0,0.91
110,49.085874125874135,0.0,1.04
91,16.651437699680514,26.0,1.04
68,30.107390300230946,0.0,0.97
53,30.738488038277513,4.6,1.14
149,21.09272727272727,0.0,1.26
127,24.62628571428571,4.5,1.04
71,22.489292929292933,16.0,0.93
152,23.42666666666667,0.0,1.05
43,31.241858108108104,0.0,1.13
59,28.121884615384616,8.2,1.06
55,29.844399260628467,0.0,0.92
117,25.099736842105266,0.0,0.88
153,14.693195876288662,1.0,0.98
101,29.804210526315796,0.0,1.15
121,29.01159763313609,5.3,1.01
147,24.929592760180995,0.0,0.92
42,32.65057750759879,1.0,0.99
113,25.581943986820427,0.2,1.15
116,30.89544827586207,1.5,1.04
170,16.286197183098594,0.0,0.97
122,26.960531561461792,0.0,0.97
123,29.257905405405406,0.0,0.99
119,20.488338762214983,16.6,1.13
103,18.97361596009975,18.9,1.06
77,34.770111524163575,0.0,0.87
112,20.999820089955023,6.4,0.97
98,31.03720183486238,2.4,1.07
80,21.954064015518917,12.0,0.95
130,26.799868421052636,4.7,0.93
108,29.161320293398532,1.5,1.09
63,29.10335169158143,8.2,1.08
173,40.15011235955056,0.0,1.14
132,12.197749196141478,36.6,0.99
162,24.98712074303406,0.0,0.95
97,16.975444685466375,31.2,1.07
88,29.396886005560706,0.0,0.96
102,29.38014659685864,0.0,0.84
109,19.42978165938865,26.1,0.99
114,16.54960739030023,21.4,0.91
141,31.62984126984127,0.0,1.13
140,20.21834683954619,0.0,0.75
189,26.501954887218044,0.0,1.05
151,29.07586206896552,0.0,0.87
176,36.65501805054152,0.0,1.1
159,26.229251101321587,0.0,0.97
79,15.221194906953968,39.3,0.83
186,44.24493506493506,0.0,1.06
146,30.97430051813472,0.0,0.98
199,30.281684210526315,0.0,1.13
124,24.382978723404257,6.9,1.02
144,26.3363007518797,4.2,1.13
195,48.98129032258064,0.0,1.15
197,23.174237288135597,0.0,0.98
210,21.624,0.0,0.96
198,14.677346938775509,0.0,1.18
172,37.07532467532467,0.0,1.09
93,30.519426111908174,2.6,1.1
120,20.523296032553407,1.5,0.95
83,26.707841155234657,13.6,1.11
187,31.574785100286537,0.0,0.99
193,26.810657439446366,0.0,1.07
136,26.1504,7.5,0.96
160,27.75061417322835,4.6,0.99
78,34.714285714285715,0.0,1.06
85,26.227796123474516,1.2,1.02
104,30.147479406919274,0.0,1.02
134,17.841164613661817,12.0,0.88
99,18.261062355658197,30.8,0.91
181,34.13987315010571,0.0,0.94
139,14.086336633663366,25.9,0.84
204,34.86431654676259,0.0,0.94
182,45.767053941908706,0.2,0.98
167,31.215182926829264,2.1,0.89
163,28.274914285714285,0.7,1.02
143,47.879212253829316,0.0,0.96
203,22.029056603773586,0.0,0.82
196,33.315692307692316,0.0,1.13
145,24.062637362637364,13.7,0.96
156,28.47231920199501,0.0,0.87
202,23.241089918256133,0.0,0.87
183,14.247513812154697,23.9,1.04
230,20.931428571428576,0.0,1.02
178,38.76388978930308,0.5,0.98
201,30.19625316455696,0.1,0.87
205,23.302647887323946,0.0,1.01
118,15.410341463414634,32.9,1.1
214,30.46909090909091,0.0,1.18
125,23.644345403899724,3.9,1.01
157,12.721390498261878,33.1,1.21
148,23.96816976127321,6.0,0.96
224,28.174128440366975,0.0,0.98
184,28.3755910543131,2.0,0.98
142,34.83763584366063,0.9,1.04
194,25.426061705989113,3.6,1.21
115,25.222861313868613,17.3,0.96
190,19.969257641921395,14.8,0.9
111,27.181322645290585,11.1,1.14
207,20.13235831809872,1.4,0.95
128,25.668728744939273,1.2,1.14
188,33.77904,0.0,0.99
219,29.88085510688836,1.6,1.17
175,36.151071428571434,0.0,0.96
192,45.73695827725438,0.0,1.11
161,25.056682464454976,28.5,1.08
229,37.750344827586204,0.0,0.9
231,24.73150684931507,0.0,0.82
155,27.53099209833187,3.4,0.97
253,26.21635359116022,0.0,0.91
200,24.902222222222218,4.2,1.16
150,29.89311163895487,0.0,0.97
177,24.308108108108105,12.2,0.98
259,22.68804469273743,0.0,0.84
171,27.50393289841566,0.0,0.97
258,11.673084112149533,8.0,0.92
168,14.426666666666666,33.4,1.1
179,28.880623174294062,4.2,1.16
209,34.9671615720524,0.0,0.9
169,24.221290322580646,28.4,1.19
216,33.3860625,3.3,1.16
245,28.89889156626506,0.0,1.12
211,15.253105263157895,18.8,1.02
217,33.908051948051956,0.0,1.02
274,28.065245901639347,0.0,1.19
221,33.39173848439822,0.0,0.86
242,36.42,0.0,1.2
260,23.22891089108911,0.0,0.85
222,11.882039660056659,29.7,1.0
165,14.705193199381764,45.5,1.04
154,15.152842105263156,45.7,0.85
