ID,Average Speed (km/h),Waiting Time,Speed Factor
12,22.106548672566372,0.0,0.96
4,29.528653846153848,0.0,1.06
13,26.718157894736844,0.0,1.04
28,8.348571428571429,0.0,0.97
19,25.74406015037594,0.0,0.95
14,31.562152466367714,0.0,1.23
39,0.0,0.0,1.14
5,31.50044444444444,0.0,1.15
27,38.615478260869565,0.0,1.0
15,26.882270270270276,0.0,1.01
41,24.69882352941177,0.0,1.08
1,30.280350262697016,0.0,1.1
3,28.977400722021663,0.0,1.02
17,26.61739534883721,0.0,1.02
0,34.57456310679612,0.0,0.94
37,13.662972972972973,7.0,1.08
61,24.45902912621359,0.0,1.03
26,35.73580041580042,0.0,0.89
8,34.823299270073,0.0,1.12
2,26.827659574468086,2.4,1.03
11,30.729729729729737,0.0,1.07
30,28.704836065573772,0.0,0.96
62,29.920235294117646,0.0,1.03
20,31.133134328358214,2.4,1.11
18,28.719272727272728,0.7,1.0
16,34.29224011713031,0.0,1.12
34,32.65424124513619,0.0,1.06
24,31.407833065810596,0.0,0.73
31,35.154315789473685,2.1,1.0
52,27.486986301369864,0.2,0.89
50,26.688797953964194,2.4,1.09
23,36.889970674486804,0.0,1.13
81,22.493571428571432,0.0,0.87
22,26.873595505617974,7.1,0.94
21,21.827022471910112,22.4,1.16
33,19.14,10.7,0.93
10,19.757027027027025,24.4,1.03
82,30.097278106508877,0.0,1.03
48,30.007181467181468,0.0,0.98
47,34.47977528089888,0.0,1.03
73,25.433167259786476,3.0,1.07
40,30.945283018867926,0.4,0.88
54,33.94183266932271,0.0,0.96
51,36.90232044198895,0.0,0.9
29,14.089891304347828,30.3,1.04
96,27.661153846153844,0.0,0.97
106,0.0,0.0,1.24
32,29.68326114649681,0.0,1.07
36,17.117590361445785,17.8,1.18
100,37.97333333333333,0.0,1.0
9,17.017507360157015,37.0,1.01
92,41.802772277227724,0.0,1.0
56,22.711971580817053,10.2,1.09
60,37.06440677966102,0.0,1.1
69,21.551785714285717,2.7,0.97
95,48.203809523809525,0.0,1.09
6,22.55667590027701,24.6,1.03
64,31.019640718562876,0.0,0.94
57,23.18866894197952,24.4,1.03
46,18.67461756373938,13.1,1.0
75,31.43397379912664,0.0,0.84
44,31.065799739921978,0.0,1.05
70,20.381484375,10.1,0.9
49,34.920475561426684,0.8,0.94
76,26.202540983606557,1.7,1.03
87,27.322914572864324,0.0,0.97
107,44.32545454545454,0.0,1.11
84,29.997079646017696,0.0,1.07
58,22.04782978723404,6.3,1.08
38,28.849863588667365,1.8,0.91
90,30.89837837837838,0.0,1.1
65,50.37428571428571,0.0,0.92
86,20.674671669793625,16.1,1.0
102,17.42943396226415,1.9,0.84
59,34.73486935866983,0.0,1.06
94,22.790602409638556,0.0,0.83
133,36.24,0.0,0.98
129,33.38769230769231,0.0,1.11
137,28.056623376623378,0.0,1.3
25,29.8281,6.7,1.14
89,17.14404255319149,16.3,0.98
127,39.9859793814433,0.0,1.04
42,34.27992344497608,0.0,0.99
72,29.199161205766714,0.0,1.1
7,26.09478445229682,0.0,0.82
97,33.08955602536998,0.0,1.07
74,35.5925,1.1,1.0
53,32.54480243161094,0.0,1.14
105,27.08636942675159,0.0,0.97
45,35.25542435424354,0.0,0.91
71,24.084086538461538,9.5,0.93
110,49.085874125874135,0.0,1.04
91,16.62488038277512,26.1,1.04
68,30.17708333333333,0.0,0.97
35,26.53380443714051,18.8,1.12
149,20.624000000000002,0.0,1.26
116,39.9094877505568,0.0,1.04
117,25.210308370044057,0.0,0.88
113,31.18120481927711,0.2,1.15
119,28.080000000000002,3.3,1.13
152,23.1409756097561,0.0,1.05
103,24.11543581616482,8.0,1.06
153,14.846250000000003,1.2,0.98
101,29.804210526315796,0.0,1.15
43,29.380746624305,4.5,1.13
55,27.90980121002593,5.3,0.92
121,29.12649504950495,2.0,1.01
147,25.04290909090909,0.0,0.92
112,24.879005328596804,0.0,0.97
80,24.390775862068967,4.4,0.95
63,32.880320000000005,0.0,1.08
170,16.51885714285714,0.0,0.97
114,21.422959641255606,4.8,0.91
126,39.63612903225807,0.0,0.97
122,26.91582089552239,0.0,0.97
123,29.208566610455318,0.0,0.99
108,31.59464900662252,1.5,1.09
77,34.80245581395349,0.0,0.87
98,31.03720183486238,2.5,1.07
130,33.11853658536585,0.5,0.93
139,25.255384615384617,0.0,0.84
173,40.15011235955056,0.0,1.14
66,23.60716216216216,34.8,1.08
134,28.148692579505298,0.0,0.88
141,36.01228915662651,0.0,1.13
132,12.197749196141478,36.6,0.99
88,29.755384615384617,0.0,0.96
120,26.580237154150193,0.0,0.95
148,31.616808510638297,0.0,0.96
162,24.23675675675676,0.0,0.95
99,24.131353001017292,3.0,0.91
140,21.50813793103448,0.0,0.75
109,20.24764505119454,30.0,0.99
144,31.84298181818182,0.0,1.13
118,23.143736263736262,0.0,1.1
124,26.999999999999996,6.2,1.02
189,26.702727272727277,0.0,1.05
151,29.187692307692306,0.0,0.87
146,31.463368421052632,0.0,0.98
136,32.22760563380282,0.0,0.96
176,31.63065420560748,3.3,1.1
159,24.96452830188679,0.0,0.97
199,29.966250000000002,0.0,1.13
186,37.23344262295082,0.7,1.06
160,33.56502857142857,0.0,0.99
67,26.875318275154008,20.8,0.89
195,47.950105263157894,0.0,1.15
197,23.174237288135597,0.0,0.98
79,22.854176470588236,3.1,0.83
142,31.187804878048787,0.0,1.04
198,15.061570680628272,0.0,1.18
210,21.624,0.0,0.96
93,25.944641068447414,0.5,1.1
172,37.07532467532467,0.0,1.09
187,31.484571428571428,0.0,0.99
78,34.762035763411276,0.0,1.06
104,30.172333058532566,0.0,1.02
181,34.87723542116631,0.0,0.94
163,29.943177004538583,0.0,1.02
193,20.884851752021564,5.5,1.07
83,24.70965931863728,14.8,1.11
204,33.771010452961676,0.0,0.94
182,45.39037037037037,0.2,0.98
183,15.724390243902441,16.0,1.04
203,21.96,0.0,0.82
168,24.16519940915805,0.0,1.1
184,34.358065764023216,0.0,0.98
156,28.507865168539325,0.0,0.87
161,34.736925098554536,5.8,1.08
85,24.020591715976334,3.5,1.02
202,23.241089918256133,0.0,0.87
111,23.786212238574752,11.0,1.14
145,23.02523659305994,14.0,0.96
178,38.76388978930308,0.5,0.98
205,23.36847457627119,0.0,1.01
201,30.19625316455696,0.1,0.87
230,20.604375,0.0,1.02
214,27.070615384615383,0.0,1.18
167,26.35413127413127,8.3,0.89
143,47.618715995647435,0.0,0.96
196,25.22935922330097,11.6,1.13
169,34.522298850574714,0.0,1.19
207,25.790163934426225,0.0,0.95
165,22.386494117647064,10.7,1.04
125,22.12420503909644,6.7,1.01
194,23.907440273037544,0.0,1.21
211,26.40628701594533,0.0,1.02
155,30.297391304347826,1.7,0.97
131,24.09473684210526,1.4,0.88
154,20.584175405147757,9.1,0.85
135,18.44298795180723,19.7,0.71
157,10.721249999999998,54.8,1.21
190,19.322366197183097,10.9,0.9
188,33.8241388518024,0.0,0.99
227,19.67107438016529,2.8,0.82
224,15.39338345864662,15.3,0.98
175,36.19146368715084,0.0,0.96
192,45.8604048582996,0.0,1.11
219,26.483873684210526,2.4,1.17
229,37.750344827586204,0.0,0.9
115,22.960345514950166,20.0,0.96
128,23.728203592814374,5.1,1.14
253,26.21635359116022,0.0,0.91
179,33.286756476683934,0.0,1.16
226,28.224955752212388,0.0,1.11
150,29.56538762725137,0.3,0.97
177,24.114995034756703,21.1,0.98
259,22.815505617977525,0.0,0.84
200,23.73035294117647,0.9,1.16
258,11.673084112149533,8.0,0.92
171,26.65918699186992,5.5,0.97
164,21.76338696020322,1.8,0.76
231,16.747680890538035,11.6,0.82
216,32.22787330316742,4.9,1.16
